10BC53132191 ,4/17/13 16:52,575,16,1455,-1,,,
10BC53132191 ,4/17/13 19:22,302,17,1618,3,,,
10BC53132191 ,4/18/13 08:40,480,9,1241,0,,,
10BC53132191 ,4/18/13 09:30,632,15,1246,0,,,
10BC53132191 ,4/18/13 10:20,395,6,1209,-1,,,
10BC53132191 ,4/18/13 12:33,569,12,1155,0,,,
10BC53132191 ,4/18/13 14:44,852,20,1534,-1,,,
10BC53132191 ,4/18/13 15:04,476,17,1637,-1,,,
10BC53132191 ,4/18/13 18:10,719,17,1517,-1,,,
10BC53132191 ,4/18/13 21:22,523,12,1333,-1,,,
10BC53132191 ,4/18/13 22:22,383,2,1250,-1,,,
10BC53132191 ,4/18/13 23:01,697,17,1543,-1,,,
10BC53132191 ,4/18/13 23:21,652,17,1479,-1,,,
10BC53132191 ,4/19/13 00:21,537,12,1149,0,,,
10BC53132191 ,4/19/13 00:41,402,6,1174,0,,,
10BC53132191 ,4/19/13 02:22,866,17,1514,-1,,,
10BC53132191 ,4/19/13 08:46,396,19,1569,-1,,,
10BC53132191 ,4/19/13 09:57,380,4,1153,-1,,,
10BC53132191 ,4/19/13 10:27,422,1,1123,-1,,,
10BC53132191 ,4/19/13 11:26,417,5,1125,-1,,,
10BC53132191 ,4/19/13 11:57,420,7,1159,0,,,
10BC53132191 ,4/19/13 13:17,548,13,1228,0,,,
10BC53132191 ,4/19/13 14:07,418,17,1009,-1,,,
10BC53132191 ,4/19/13 15:59,274,18,1642,3,,,
10BC53132191 ,4/19/13 16:09,627,17,1522,-1,,,
10BC53132191 ,4/19/13 16:55,454,9,1237,0,,,
10BC53132191 ,4/19/13 17:05,595,13,1171,0,,,
10BC53132191 ,4/19/13 17:25,569,13,1172,0,,,
10BC53132191 ,4/19/13 17:45,513,12,1173,0,,,
10BC53132191 ,4/19/13 19:05,599,13,1168,0,,,
10BC53132191 ,4/19/13 19:45,659,16,1373,-1,,,
10BC53132191 ,4/20/13 13:07,855,18,1636,1,,,
10BC53132191 ,4/20/13 17:21,597,13,1225,0,,,
10BC53132191 ,4/20/13 17:41,642,14,1207,0,,,
10BC53132191 ,4/21/13 08:58,516,12,1240,0,,,
10BC53132191 ,4/21/13 10:18,598,15,1125,0,,,
10BC53132191 ,4/21/13 14:54,850,17,1479,-1,,,
10BC53132191 ,4/21/13 15:50,417,5,1081,-1,,,
10BC53132191 ,4/22/13 08:54,583,14,1169,0,,,
10BC53132191 ,4/22/13 09:34,517,11,1162,0,,,
10BC53132191 ,4/22/13 09:54,566,14,1233,0,,,
10BC53132191 ,4/22/13 11:04,559,14,1150,0,,,
10BC53132191 ,4/22/13 11:44,492,11,1129,0,,,
10BC53132191 ,4/22/13 14:14,791,16,1368,-1,,,
10BC53132191 ,4/22/13 14:42,840,19,1574,1,,,
10BC53132191 ,4/22/13 17:53,467,21,1318,-1,,,
10BC53132191 ,4/22/13 21:03,289,18,1539,-1,,,
10BC53132191 ,4/23/13 08:53,581,15,1421,-1,,,
10BC53132191 ,4/23/13 13:47,535,4,1233,-1,,,
10BC53132191 ,4/23/13 15:17,555,12,1154,0,,,
10BC53132191 ,4/24/13 17:16,544,13,1617,-1,,,
10BC53132191 ,4/25/13 16:13,489,13,1222,-1,,,
