11BC53130992 ,11/22/12 15:52,452,11,1145,0,,,,,
11BC53130992 ,11/22/12 16:00,452,11,1232,0,,,,,
11BC53130992 ,11/22/12 16:52,327,21,1670,1,,,,,
11BC53130992 ,11/22/12 19:33,724,12,1168,0,,,,,
11BC53130992 ,11/22/12 20:05,1003,14,1153,-1,,,,,
11BC53130992 ,11/22/12 21:00,1023,12,1128,-1,,,,,
11BC53130992 ,11/22/12 21:12,327,15,1272,-1,,,,,
11BC53130992 ,11/22/12 21:48,965,13,1277,-1,,,,,
11BC53130992 ,11/22/12 22:52,522,13,1148,0,,,,,
11BC53130992 ,11/22/12 23:04,508,12,1193,0,,,,,
11BC53130992 ,11/22/12 23:16,514,13,1149,0,,,,,
11BC53130992 ,11/22/12 23:36,975,18,1374,-1,,,,,
11BC53130992 ,11/22/12 23:40,932,21,1641,3,,,,,
11BC53130992 ,11/23/12 00:36,444,16,1186,-1,,,,,
11BC53130992 ,11/23/12 00:56,523,15,1221,0,,,,,
11BC53130992 ,11/23/12 01:04,526,14,1187,0,,,,,
11BC53130992 ,11/23/12 01:20,521,14,1190,0,,,,,
11BC53130992 ,11/23/12 01:32,516,14,1226,0,,,,,
11BC53130992 ,11/23/12 02:04,685,18,1313,-1,,,,,
11BC53130992 ,11/23/12 08:16,1037,20,1644,3,,,,,
11BC53130992 ,11/23/12 08:44,561,14,1181,0,,,,,
11BC53130992 ,11/23/12 08:56,493,13,1175,0,,,,,
11BC53130992 ,11/23/12 09:08,486,12,1156,0,,,,,
11BC53130992 ,11/23/12 09:28,441,10,1172,0,,,,,
11BC53130992 ,11/23/12 09:40,353,7,1181,0,,,,,
11BC53130992 ,11/23/12 09:48,455,11,1195,0,,,,,
11BC53130992 ,11/23/12 09:56,400,9,1198,0,,,,,
11BC53130992 ,11/23/12 10:04,313,6,1173,0,,,,,
11BC53130992 ,11/23/12 10:08,556,16,1152,0,,,,,
11BC53130992 ,11/23/12 11:36,986,21,1646,3,,,,,
11BC53130992 ,11/24/12 09:52,683,15,1164,0,,,,,
11BC53130992 ,11/24/12 10:00,603,12,1175,0,,,,,
11BC53130992 ,11/24/12 10:08,604,15,1293,-1,,,,,
11BC53130992 ,11/24/12 10:52,625,13,1161,0,,,,,
11BC53130992 ,11/24/12 12:56,415,10,1171,0,,,,,
11BC53130992 ,11/24/12 14:00,341,7,1229,0,,,,,
11BC53130992 ,11/24/12 17:04,789,17,1222,0,,,,,
11BC53130992 ,11/24/12 19:20,623,21,1559,-1,,,,,
11BC53130992 ,11/24/12 19:24,650,16,1138,0,,,,,
11BC53130992 ,11/24/12 19:28,442,10,1226,0,,,,,
11BC53130992 ,11/24/12 19:40,966,21,1667,3,,,,,
11BC53130992 ,11/25/12 08:44,450,1,1361,-1,,,,,
11BC53130992 ,11/25/12 09:28,855,17,1345,-1,,,,,
11BC53130992 ,11/25/12 10:04,890,21,1706,3,,,,,
11BC53130992 ,11/25/12 13:24,708,17,1222,0,,,,,
11BC53130992 ,11/25/12 15:04,509,20,1583,-1,,,,,
11BC53130992 ,11/25/12 16:56,302,21,1652,1,,,,,
11BC53130992 ,11/26/12 09:24,1119,12,1276,-1,,,,,
11BC53130992 ,11/26/12 10:20,356,7,1234,0,,,,,
11BC53130992 ,11/26/12 10:40,351,7,1207,0,,,,,
11BC53130992 ,11/26/12 10:40,351,7,1207,0,,,,,
11BC53130992 ,11/26/12 10:56,399,8,1156,0,,,,,
11BC53130992 ,11/26/12 10:56,399,8,1156,0,,,,,
11BC53130992 ,11/26/12 11:08,419,13,1456,-1,,,,,
11BC53130992 ,11/26/12 11:08,419,13,1456,-1,,,,,
